H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,大分,○,3,2,3,2,1,1,0,0,3,4
H,湘南,●,1,3,4,5,-1,1,0,1,3,12
A,岐阜,△,0,0,4,5,-1,1,1,1,4,11
H,徳島,△,0,0,4,5,-1,1,2,1,5,13
A,東京Ｖ,●,0,2,4,7,-3,1,2,2,5,14
H,横浜FC,△,1,1,5,8,-3,1,3,2,6,17
A,富山,○,2,1,7,9,-2,2,3,2,9,14
H,愛媛,○,1,0,8,9,-1,3,3,2,12,11
A,水戸,●,0,1,8,10,-2,3,3,3,12,14
H,北九州,●,0,2,8,12,-4,3,3,4,12,15
A,岡山,●,1,2,9,14,-5,3,3,5,12,15
H,千葉,●,0,2,9,16,-7,3,3,6,12,15
A,山形,●,0,1,9,17,-8,3,3,7,12,16
H,栃木,●,1,2,10,19,-9,3,3,8,12,18
A,甲府,●,0,2,10,21,-11,3,3,9,12,18
H,松本,△,0,0,10,21,-11,3,4,9,13,20
H,福岡,○,1,0,11,21,-10,4,4,9,16,17
A,町田,○,2,0,13,21,-8,5,4,9,19,17
H,熊本,△,0,0,13,21,-8,5,5,9,20,17
A,京都,○,1,0,14,21,-7,6,5,9,23,17
H,鳥取,●,1,2,15,23,-8,6,5,10,23,17
A,徳島,△,0,0,15,23,-8,6,6,10,24,18
H,大分,●,0,2,15,25,-10,6,6,11,24,18
A,北九州,○,1,0,16,25,-9,7,6,11,27,18
H,町田,△,1,1,17,26,-9,7,7,11,28,18
A,福岡,○,3,0,20,26,-6,8,7,11,31,16
H,甲府,●,1,2,21,28,-7,8,7,12,31,17
H,岐阜,△,1,1,22,29,-7,8,8,12,32,17
A,栃木,△,0,0,22,29,-7,8,9,12,33,17
A,熊本,△,1,1,23,30,-7,8,10,12,34,16
H,京都,○,1,0,24,30,-6,9,10,12,37,16
A,松本,○,2,0,26,30,-4,10,10,12,40,15
A,湘南,●,0,2,26,32,-6,10,10,13,40,15
H,富山,●,0,1,26,33,-7,10,10,14,40,15
H,山形,○,3,1,29,34,-5,11,10,14,43,15
A,鳥取,●,0,2,29,36,-7,11,10,15,43,16
A,千葉,●,0,2,29,38,-9,11,10,16,43,16
H,水戸,△,0,0,29,38,-9,11,11,16,44,16
H,岡山,○,1,0,30,38,-8,12,11,16,47,16
A,横浜FC,●,0,3,30,41,-11,12,11,17,47,16
A,愛媛,●,1,3,31,44,-13,12,11,18,47,17
H,東京Ｖ,●,0,1,31,45,-14,12,11,19,47,17
